primaryie,secondaryies,tertiaryies
"Capacity, [7.035], [7.036], [7.055]","minors, [7.037], [7.041]","['adults contracting with, [7.038]', 'case example, [7.039]', 'determination of minority, [7.040]', 'employment contracts, [7.0425], [7.043]', 'exceptions to inability to contract, [7.042]', 'legal protection, [7.038]', 'scholarship contracts, [7.044]']"
"Capacity, [7.035], [7.036], [7.055]","unsound mind, persons of, [7.045]","['caution, critical thought and evaluation, [7.048]', 'sound mind, [7.045]–[7.047]', 'unsound mind contracting during lucidity, [7.049], [7.050]']"
Car park,"exemption clause example, [9.001]",
Civil Law Act 1956,"case involving use of ss 5(1) and (2), [3.028], [3.029], [3.031]",
Civil Law Act 1956,"s 3, [3.032], [3.033]",
Civil Law Act 1956,"cut-off date, [3.034]",
Civil Law Act 1956,"s 3(1), [3.036], [3.038]","['proviso, [3.034], [3.035]']"
Civil Law Act 1956,"s 5(1), [3.024], [3.025]",
Civil Law Act 1956,"s 5(2), [3.026]",
Civil Law Act 1956,"ss 3(1), 5(1) and (2) construed together, [3.037]",
"Code of Conduct for Industrial Harmony 1975, [16.068], [16.074]","case example, [16.076]",
"Code of Conduct for Industrial Harmony 1975, [16.068], [16.074]","legal force, [16.075]",
"Code of Conduct for Industrial Harmony 1975, [16.068], [16.074]","redundancy likely, where, [16.077]",
"Code of Conduct for Industrial Harmony 1975, [16.068], [16.074]","retrenchment exercise, [16.080]",
"Code of Conduct for Industrial Harmony 1975, [16.068], [16.074]","retrenchment unavoidable, measures where, [16.078], [16.079]",
Commerce,"definition, [21.001]",
Common law,"contribution, operation under, [23.145], [23.146]",
Common law,"English, and Malaysian contract law, [3.032], [3.033]","['cut-off date, [3.034]']"
Common law,"Malaysia, in, [2.049], [2.057], [2.063]",
Common law,"parol evidence rule, [8.006]–[8.010]",
Common law,"past consideration, [5.031]–[5.034]",
Common law,"proposal termination, [4.112]–[4.116]",
Common law,"unfair contract terms in common law jurisdictions, [10.004]–[10.012]",
Companies. See also Business,"definition, [19.005]",
Companies. See also Business,"formation, [19.031]","['requirements, [19.032]']"
Companies. See also Business,"framework, [19.014]",
Companies. See also Business,incorporation. See Incorporation,
Companies. See also Business,"law and morality, [1.054]",
Companies. See also Business,"legal entity, as, [19.039]–[19.042]",
Companies. See also Business,"overview, [19.001]–[19.003]",
Companies. See also Business,pre-incorporation contracts. See Preincorporation contracts,
Companies. See also Business,promoters. See Promoters,
Companies. See also Business,"types, [19.006]","['private companies, [19.012]', 'public companies, [19.013]', 'registered companies, [19.008]–[19.011]', 'statutory companies, [19.007]']"
"Conditions and warranties, [8.054]–[8.058]","breach remedies, [8.066]–[8.068]","['condition breach remedies, [8.066]', 'consequences expressly specified, [8.070]', 'rescission and repudiation, [8.068]', 'warranty breach remedies, [8.067]']"
Conditions precedent,"proposal revocation by unfulfilled, [4.104]","['burden, [4.107]', 'case examples, [4.105], [4.106]', 'statutory provisions, [4.108]']"
Consent,Contracts Act 1950,"['consequences, [3.053]', 'what constitutes (s 14), [11.002]']"
Consent,"free consent (s 10), [3.046], [3.049], [3.052]",
Consent,"definition, [3.046]",
Consent,"free consent, [3.050]","['consequences, [3.053]', 'Contracts Act 1950 s 10, [3.046], [3.049], [3.052]', 'importance, [3.054]', 'what constitutes, [11.002]']"
Consent,"importance to Malaysian contract law, [11.003]",
Consent,"inadequate consideration and, [5.048], [5.049]",
Consent,"no consent means no contract, [3.052]",
Consent,"overview, [3.046], [3.047], [11.002]",
Consent,"pressures, unacceptable, [3.051], [3.054]",
Consent,"risk, to. See Voluntary assumption of risk",
Consideration. See also Promissory estoppel,adequacy. See Consideration sufficiency,
Consideration. See also Promissory estoppel,"agreement made without is void, [5.010]–[5.013]","['case examples, [5.012], [5.013]']"
Consideration. See also Promissory estoppel,"basic element of contract, as, [5.010]",
Consideration. See also Promissory estoppel,definition,"['act, abstinence or promise, [5.005]', 'common law vs statutory definition, [5.006]', 'Contracts Act 1950, [5.004]', 'Lush J’s definition, [5.007]', 'Pollock’s definition, [5.008]']"
Consideration. See also Promissory estoppel,"executed, [5.024]","['Contracts Act 1950, [5.027]', 'contracts with executory and, [5.018]', 'executory, comparison, [5.025], [5.026]']"
Consideration. See also Promissory estoppel,"executory, [5.017]","['case examples, [5.020]–[5.023]', 'Contracts Act 1950, [5.019]', 'contracts with executed and, [5.018]', 'executed, comparison, [5.025], [5.026]']"
"Consideration rules, [5.028]",adequacy irrelevant. See Consideration sufficiency,
"Consideration rules, [5.028]",past consideration,"['common law, [5.031]–[5.034]', 'Malaysia, in, [5.035]–[5.042]', 'prohibition, [5.029], [5.030]']"
"Consideration rules, [5.028]","promisee, consideration moving from","['common law position, [5.073]', 'Malaysia, [5.074]']"
"Consideration rules, [5.028]",sufficiency requirement. See Consideration sufficiency,
"Consideration rules, [5.028]",terms. See Terms of contract,
"Consideration sufficiency, [5.051]–[5.052]","forbearance to sue, [5.058]","['abstinence, [5.059]', 'case examples, [5.058], [5.060]', 'proof required, [5.061]']"
"Consideration sufficiency, [5.051]–[5.052]","inadequate consideration and consent, [5.048], [5.049]",
"Consideration sufficiency, [5.051]–[5.052]",inadequate consideration,"['immaterial, [5.045], [5.049]', 'case examples, [5.044], [5.047]']"
"Consideration sufficiency, [5.051]–[5.052]",natural love and affection,"['case example, [5.057]', 'conditions for validity, [5.054]', 'Contracts Act 1950, [5.053], [5.055]', 'good consideration in Malaysia, [5.053]', 'near relations only, [5.056]']"
"Consideration sufficiency, [5.051]–[5.052]",part payment of debt,"['common law invalidity, [5.069]', 'Malaysia, in', 'case example, [5.072]', 'Contracts Act 1950, [5.070]–[5.072]', 'promisee forgoing debt without return, [5.071]', 'statutory waiver, [5.070]']"
"Consideration sufficiency, [5.051]–[5.052]","performance of existing duty, [5.062]","['contractual duty to promisor, [5.065]', 'existing contractual duty to third party, [5.068]', '“practical benefit”, [5.067]', 'public duties, [5.063]', 'case examples, [5.065], [5.066]', 'case examples, [5.063], [5.064]']"
"Consideration sufficiency, [5.051]–[5.052]","requirement, [5.043]",
"Consideration sufficiency, [5.051]–[5.052]","“sufficiency” and “adequacy” of consideration, distinguished, [5.050]",
"Consideration sufficiency, [5.051]–[5.052]","value of consideration, [5.046]","['inadequacy immaterial, [5.044], [5.045], [5.047], [5.049]']"
Consumer protection,complaints tribunal. See Tribunal for Consumer Claims,
Consumer protection,"consumer, definition, [21.053]",
Consumer protection,"e-consumer protection, [21.063]–[21.066]",
Consumer protection,"overview, [21.049]–[21.062], [21.066]",
Consumer protection,unfair contract terms. See Unfair contract terms,
Consumer Protection Act 1999 (CPA 1999),"Pt IIIA (unfair contracts terms), [10.021], [10.039]–[10.048]","['consumer contract application only, [10.022]', 'inequality of bargaining power doctrine, [10.039], [10.040]', 'non-compliance with provisions, effect, [10.036], [10.037]', 'procedural and substantive unfairness, [10.025]–[10.028]', 'regulations, [10.038]', 's 24B – provisions’ application to all contracts, [10.022]', 'standard form contracts, application to, [10.023]', 'Tribunal for Consumer Claims jurisdiction, [10.041]–[10.047]', '“unconscionable, oppressive and harsh” terms undefined, [10.040]', 'unfair term, definition, [10.024]', 'unfair terms, application to all, [10.024]']"
"Contract of service, [16.017], [16.018]","bargaining power and, [3.058]",
"Contract of service, [16.017], [16.018]","contract for service, distinguishing, [16.019]",
"Contract of service, [16.017], [16.018]","definition, [16.016]",
"Contract of service, [16.017], [16.018]","judicial comment, [16.019]",
"Contract of service, [16.017], [16.018]","minors, [7.042]",
"Contract of service, [16.017], [16.018]",probationer. See Probationer,
"Contract of service, [16.017], [16.018]",termination. See Termination of contract of employment,
"Contract of service, [16.017], [16.018]",terms and conditions. See Employment terms and conditions,
"Contract of service, [16.017], [16.018]","tests for, [16.020], [16.034]","['mixed or multiple test, [16.030]–[16.038]', 'organisation or integration test, [16.025]–[16.029]', 'traditional or control test, [16.021]–[16.024]']"
"Contract of service, [16.017], [16.018]","wrongful termination, damages for, [13.009]",
Contracts. See also Agreements,"acceptance subject to contract, [4.064]–[4.068]",
Contracts. See also Agreements,"agreement made without consideration is void, [5.010]–[5.013]",
Contracts. See also Agreements,"bargaining power, equality, [3.055], [3.057]","['consumer goods contracts, [3.059]', 'employment contracts, [3.058]']"
Contracts. See also Agreements,capacity. See Capacity,
Contracts. See also Agreements,"commercial contract interpretation, [4.011]",
Contracts. See also Agreements,"communication between parties, testing, [3.044]",
Contracts. See also Agreements,"competence to contract, [3.065]","['competence, definition, [3.066]']"
Contracts. See also Agreements,"conduct, made by, [3.005], [3.012]","['example, [3.013]']"
Contracts. See also Agreements,"consensus ad idem, [3.041]","['Contracts Act 1950, [3.041]', 'foundation, [3.043]', 'mistake, absent where, [11.057]', 'Perillo, Joseph M, [3.042], [3.043]']"
Contracts. See also Agreements,consent. See Consent,
Contracts. See also Agreements,"criminal law and, [3.061], [3.062]",
Contracts. See also Agreements,"definition, [3.001]–[3.004], [3.067]",
Contracts. See also Agreements,discharge. See Discharge,
Contracts. See also Agreements,employment. See Contract of service,
Contracts. See also Agreements,"enforceable by law, [3.016]–[3.021]","['importance of distinguishing, [3.040]']"
Contracts. See also Agreements,"English and Malaysian law, mixture of, [3.022]–[3.038]",
Contracts. See also Agreements,"English authorities, rareness of reference/reliance on, [3.027]",
Contracts. See also Agreements,"English principles, derivation from, [3.040]",
Contracts. See also Agreements,exemption clauses. See Exemption clauses,['incorporation into contract. See Exemption clauses incorporated into contract']
Contracts. See also Agreements,"failure, [4.012]",
Contracts. See also Agreements,formation. See Formation of contract,
Contracts. See also Agreements,free consent. See Consent,
Contracts. See also Agreements,"freedom of contract under Contracts Act 1950, [3.039]–[3.066]","['bargaining power. See bargaining power, equality above', 'competence. See competence to contract above', 'consent. See Consent', 'criticism of theory, [3.057]']"
Contracts Act 1950,"1800s-era principles, [4.123]",
Contracts Act 1950,"agreement made without consideration is void, [5.010]–[5.013]",
Contracts Act 1950,"breach claims under s 40, [12.054]–[12.063]",
Contracts Act 1950,"burden of proof applicable when proving, [11.033]","['balance of probabilities standard of proof, [11.033], [11.034]', 'civil/criminal standard of proof, [11.033]', 'exceptional circumstances, [11.035]']"
Contracts Act 1950,"consensus ad idem, existence, [3.041]",
Contracts Act 1950,"English contract law, relation to, [3.022]",
Contracts Act 1950,"English precedent, prevalence over, [3.023]",
Contracts Act 1950,"fraud under s 17, [11.005], [11.010]–[11.025]","['burden of proof applicable when proving, [11.033]–[11.035]', 'features, [11.009]']"
Contracts Act 1950,"silence amounting to, [11.015], [11.026]–[11.032]",
Contracts Act 1950,"free consent (s 10), [3.046], [3.049], [3.052]","['consequences, [3.053]']"
Contracts Act 1950,"freedom of contract under, [3.039]–[3.066]","['criticism of theory, [3.057]', 'interpretation UK 1872, [3.056]', 'meaning, [3.055]']"
Contracts Act 1950,"Indian Contract Act 1872 as forbear to, [3.055]",
Contracts Act 1950,"presumption “all agreements are contracts”, [3.045]",
Contracts Act 1950,"reforming, [4.126], [4.127]",
Contracts Act 1950,"s 26, [5.010]–[5.013]",
Contribution. See also Subrogation,"common law operation, [23.145], [23.146]",
Contribution. See also Subrogation,"conditions calling for, [23.135]","['multiple indemnity policies, [23.136]', 'common interest, [23.142], [23.143]', 'common liability for loss, [23.144]', 'common peril, [23.139]–[23.141]', 'common subject matter, [23.137], [23.138]']"
Contribution. See also Subrogation,"definition, [23.130], [23.131], [24.045]",
Contribution. See also Subrogation,"double insurance and contribution arising, [23.132]–[23.135]",
Contribution. See also Subrogation,"overview, [23.128], [23.129], [23.147], [23.148]",
Contribution. See also Subrogation,"principle of indemnity, [23.117]–[23.119]",
Contributory negligence,"apportionment of damages, [15.119]",
Contributory negligence,"case example, [15.118]",
Contributory negligence,"Malaysia, [15.120]",
Contributory negligence,"overview, [15.115], [15.116]",
Contributory negligence,"rules, [15.117]",
Counter offers,"case examples, [4.114], [4.115]",
Counter offers,"modification of initial proposal by proposee, [4.112], [4.113]",
Counter offers,"negotiations, common in, [4.116]",
Counter offers,"revocation, not, [4.112]",
Court system,"alternative methods of dispute resolution, [2.085]",
Court system,"Attorney General, [2.031]",
Court system,"contract terms implied by court, [8.094]","['terms implied in fact, [8.098]', 'terms implied in law, [8.105]', 'terms implied through custom and usage, [8.095]', 'business efficacy test, [8.100]', 'business efficacy test case examples, [8.101], [8.102]', 'officious bystander test, [8.103], [8.104]', 'tests developed, [8.099]', 'case examples, [8.096], [8.097]']"
Court system,"Court of Appeal, [2.081]",
Court system,"English legal system features retained in Malaysian system, [2.076]",
Court system,"High Courts of Malaya and of Sabah and Sarawak, [2.082]",
Court system,"independent judiciary, [2.027], [2.029]","['challenge to, [2.028]', 'constitutional measures to ensure, [2.030]']"
Court system,judges,"['duty to act fairly, [2.060]', 'principal functions, [2.050]']"
Court system,"judicial appointments, [2.030]",
Court system,judicial decisions as sources of law. See Judicial decisions,
Court system,"judiciary subject to executive-dominated legislature, [2.028]",
Court system,"jurisdiction of courts, [2.078], [2.079]",
Court system,"overview, [2.026]",
Court system,"reformation of administration of justice, [2.084]",
Court system,"Shariah courts, [2.069], [2.070]",
Court system,"Special Court, [2.080]",
Court system,"statutory interpretation, [2.047], [2.048]","['English court precedent, [2.044]']"
Court system,"structure, [2.077]",
Court system,"subordinate courts, [2.083]",
"Customary law, [2.004]","adat, [2.004]",
"Customary law, [2.004]","constitutional recognition, [2.073]",
"Customary law, [2.004]","contemporary waning of influence, [2.074]",
"Customary law, [2.004]","ethnocentric application, [2.073]",
"Customary law, [2.004]","land rights, [2.074], [2.075]",
"Customary law, [2.004]","source of law, as, [2.073]–[2.075]",
"Damage(s), [13.001]","assessment difficulty no bar to claims, [13.005]",
"Damage(s), [13.001]","assessment time, [13.006]",
"Damage(s), [13.001]","“but for” test, [15.090], [15.092]","['case example, [15.091]']"
"Damage(s), [13.001]",case examples,"['distress, [13.009]', 'proof of damages, [13.031]']"
"Damage(s), [13.001]","definition, [13.001]",
"Damage(s), [13.001]","distress etc, [13.007]","['case examples, [13.009]']"
"Damage(s), [13.001]","“eggshell skull rule”, [15.103]","['case examples, [15.104]–[15.106]', 'Malaysian application, [15.107]']"
"Damage(s), [13.001]","entitlement, [13.011]",
"Damage(s), [13.001]",liquidated damages and penalties,"['distinction inapplicable, [13.027], [13.028]', '“genuine pre-estimate”, meaning, [13.029]', 'liquidated damages, [13.024]', 'Malaysian position, [13.026], [13.030]']"
"Damages in tort, [15.133]–[15.142]","common form, [15.133]",
"Damages in tort, [15.133]–[15.142]","continuing trespass to land and continuing nuisance, [15.138]",
"Damages in tort, [15.133]–[15.142]","defendant must take claimant as he finds him, [15.142]",
"Damages in tort, [15.133]–[15.142]","judicial comment, [15.136]",
"Damages in tort, [15.133]–[15.142]","no hard and fast rule, [15.137]",
"Damages in tort, [15.133]–[15.142]","plaintiff’s impecuniosity, [15.141]",
"Damages in tort, [15.133]–[15.142]","principles, [15.133], [15.134]",
"Damages in tort, [15.133]–[15.142]","public interest, [15.136]",
"Damages in tort, [15.133]–[15.142]","restitutio in integrum, [15.139], [15.140]",
"Damages in tort, [15.133]–[15.142]","second claim, [15.135]",
Death,"revocation of proposal due to proposer’s death, [4.109]","['agent proposer, [4.110]', 'knowledge of proposee, [4.109]', 'obligations only proposer can fulfil included, [4.111]']"
Death,"Tribunal of Consumer Claims’ lack of jurisdiction, [10.045], [10.047]",
Discharge,"agreement to discharge, nature of, [12.007]–[12.011]","['key element, [12.008]', 'proof of intention to substitute old obligations with new, [12.009]']"
Discharge,"breach, by. See Discharge by breach",
Discharge,"case examples, [12.004], [12.005]","['oral agreement difficulties, [12.010]']"
Discharge,"circumstances for, [12.011]",
Discharge,frustration,"['doctrine under Malaysian law, [12.069]–[12.072]', 'frustration, definition, [12.067], [12.068]']"
Discharge,"novation, variation and rescission, [12.011]",
Discharge,"overview, [12.001]–[12.006], [12.073], [12.074]",
Discharge,"performance, by. See Discharge by performance",
Discharge by breach,"anticipatory breach, [12.064]","['case example, [12.066]', 'determination, approach to, [12.065]']"
Discharge by performance,"duty to perform, [12.013]","['beginning, [12.016]', 'binding nature of promises, [12.015]', 'case examples, [12.018], [12.020]', 'contract terms and obligations, fulfilment, [12.012]', 'English law approach, [12.014]', 'exception, [12.019]', 'personal performance, [12.017]', 'refused or disabled from, [12.021]']"
Discharge by performance,"good faith, [12.030]–[12.032], [12.034], [12.037]","['case example, [12.033]', 'judicial comment, [12.035], [12.036]']"
Discharge by performance,"partial performance consequences, [12.038]–[12.043]","['case examples, [12.038], [12.041]', 'judicial comment, [12.039]', 'principle of entire contract, [12.040]', 'progressive payments, [12.043]', 'quantum meruit claim, [12.042]']"
Discharge by performance,"refusal to accept offer of performance, [12.022], [12.023]","['case example, [12.024], [12.033]', 'offer and promise radically different, [12.025]', 'validity of offer, [12.026]', 'conditions to be fulfilled, [12.028], [12.029]', 'delivery, [12.029]', 'fair and open dealing, [12.031]', 'good faith, [12.030], [12.031]', 'unconditional offer, [12.027], [12.029]']"
Discharge by performance,"substantial performance doctrine, [12.044]–[12.052]","['conditions performed, determining, [12.046]', 'consequences of non- or defective performance of fundamental terms, [12.047]', 'counter claim for damages from defects, [12.045]', 'Malaysian application, [12.049]–[12.051]', 'case example, [12.048]']"
Duty of care. See also Negligence,"banks, of. See Bank’s duties of care",
Duty of care. See also Negligence,breach. See Duty of care breach,
Duty of care. See also Negligence,"criteria for, [15.018]",
Duty of care. See also Negligence,"currently, [15.018]–[15.020]","['Caparo Industries plc v Dickman, [15.019]', 'subsequent cases, [15.020]']"
Duty of care. See also Negligence,"developments, [15.013]–[15.017]","['Australian approach, [15.017]', 'categories, analysis/creation, [15.013]', 'contractor/subcontractor and employer, [15.015]', 'two-stage test, [15.03], [15.014], [15.016], [15.017]']"
Duty of care. See also Negligence,"Donoghue v Stevenson, [15.010], [15.021]",
Duty of care. See also Negligence,"justice and reasonableness, [15.030]","['Caparo test acceptance, [15.034]', 'case examples, [15.031], [15.032]', 'public policy, [15.033]']"
Duty of care. See also Negligence,"Malaysia, [15.035]",
Duty of care. See also Negligence,“neighbour principle”,"['adoption over time, [15.012]', 'case establishing, [15.010], [15.011]']"
Duty of care. See also Negligence,"omission, [15.048]–[15.051]","['control of land or dangerous things, [15.056], [15.057]', 'definition, [15.048]', 'example, [15.050]']"
"Duty of care breach, [15.058]","factors taken into account in considering, [15.068]","['harm to plaintiff', 'value of defendant’s attempted achievement, [15.077], [15.078]', 'potential seriousness, [15.072], [15.073]', 'probability, [15.069]–[15.071]', 'steps taken to reduce, [15.074]–[15.076]']"
"Duty of care breach, [15.058]","proof of, [15.079]","['criminal conviction, [15.088]', 'res ipsa loquitor, [15.080]', 'burden of proof, reversal, [15.081], [15.084]', 'case examples, [15.082], [15.083], [15.087]', 'judicial commentary, [15.085], [15.086]']"
"Duty of care breach, [15.058]","standard of care, [15.059], [15.060]","['skilled defendant, owed by, [15.061]', 'Bolam test, [15.065]–[15.067]', 'case examples, [15.062]–[15.064]']"
Employee-employer relationship,"employee’s express/implied obligations to employer, [16.092]",
Employee-employer relationship,"employers’ rights, [17.073], [17.074]","['promotion of employees, [17.075]']"
Employee-employer relationship,"Industrial Relations (Amendment) Act 2020, [16.223]–[16.224]",
Employee-employer relationship,"principal Malaysian laws on, [16.001], [16.002]",
Employee-employer relationship,probationer. See Probationer,
Employee-employer relationship,"workers’ rights, [17.062]",
Employment Act 1955,"domestic inquiry into misconduct, [16.101]–[16.116]",
Employment,"casual employees, [16.050]–[16.051]",
Employment,contract. See Contract of service; Termination of contract of employment,
Employment,"employee’s housing accommodation and amenities, [16.200]–[16.206]","['deduction of rent or charge of accommodation, [16.207]-[16.222]']"
Employment,"part-time employees, [16.044]–[16.049]",
Employment,"sexual harassment, and, [16.179]–[16.199]",
"Employment terms and conditions, [16.002], [16.005]","border-straddling estate, [16.015]",
"Employment terms and conditions, [16.002], [16.005]","exemption or exclusion by Minister, [16.014]",
"Employment terms and conditions, [16.002], [16.005]","financial crises, [16.012]–[16.013]",
"Employment terms and conditions, [16.002], [16.005]","Industrial Court, [16.010], [16.011], [16.013]",
"Employment terms and conditions, [16.002], [16.005]","less favourable terms prohibited, [16.005], [16.006]",
"Employment terms and conditions, [16.002], [16.005]","more favourable terms permitted, [16.007]",
"Employment terms and conditions, [16.002], [16.005]","other than statutory provisions, [16.009]",
"Employment terms and conditions, [16.002], [16.005]","validity, [16.039]","['express prohibition, [16.0365', 'example, [16.040]']"
English law. See also United Kingdom,"acceptance communication, [4.069], [4.070], [4.073]",
English law. See also United Kingdom,"agency, influence in Malaysia, [14.002]–[14.004]",
English law. See also United Kingdom,"application in Malaysia, [2.063]–[2.065]",
English law. See also United Kingdom,"common law, [2.063]","['legal system origins, [2.003], [2.007]', 'objection to, [2.065]', 'statutes, [2.064]']"
English law. See also United Kingdom,"application in settlements, [2.007]",
English law. See also United Kingdom,"determination of intent to create legal relationship, [7.007], [7.008]",
English law. See also United Kingdom,"Malaysian contract law mix of Malaysian law and, [3.022]–[3.038]",
English law. See also United Kingdom,"reception in Malaysia, [14.002]",
Estoppel,"agency creation, [14.032], [14.033]",
Estoppel,promissory. See Promissory estoppel,
Evidence Act 1950,"s 92 exceptions to parol evidence rule, [8.019]","['ambiguities, [8.034]', 'conditions precedent, [8.028]', 'invalidity of documents, [8.020]', 'separate oral agreement (collateral agreement), [8.021], [8.024]', 'case examples, [8.022], [8.023], [8.026], [8.027]', 'inconsistency with main written agreement, [8.024], [8.027]', 'prevailing, [8.025]', 'subsequent oral agreement, [8.029]', 'case examples, [8.030]', 'usage or custom, [8.031], [8.033]', 'case examples, [8.031], [8.032]']"
Exemption clauses,"car park example, [9.001]",
Exemption clauses,"classification, [9.005]–[9.009]","['exclusion clauses, [9.006], [9.007]', 'exemption clauses and disclaimers, distinguished, [9.005]', 'limitation clauses, [9.006], [9.008]', 'examples, [9.007]', 'weakness, [9.009]', 'examples, [9.008]', 'weakness, [9.009]']"
Exemption clauses,"construction rules, [9.040]","['contra proferentum rule, [9.043]–[9.046]', 'fundamental breach doctrine, [9.047]–[9.053]', 'natural and ordinary meaning, interpretation according to, [9.041], [9.042]', 'case examples, [9.044]', 'judicial commentary, [9.045], [9.046]', 'meaning, [9.043]', 'definition, [9.048]', 'example, [9.047]', 'judicial commentary, [9.050]–[9.052]', 'liability exclusion via exemption clause, [9.049]']"
Exemption clauses,"contract, incorporation into. See Exemption clauses incorporated into contract",
Exemption clauses,"overview, [9.001]–[9.004], [9.054]",
