ID,primaryie_text,secondaryies_text,tertiaryies_text,merged_text,page_nums,page_nums_converted
13,Acceptance,communication of,means,{Acceptance::communication of::means:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.072]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.072]"
14,Acceptance,communication of,omission,{Acceptance::communication of::omission:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.072]', '[4.074]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.072, 4.074]"
15,Acceptance,communication of,silence,{Acceptance::communication of::silence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.073]', '[4.076]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.073, 4.076]"
16,Acceptance,communication of,timing,{Acceptance::communication of::timing:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.078]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.078]"
17,Acceptance,communication of,unilateral proposals,{Acceptance::communication of::unilateral proposals:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.075]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.075]"
18,Acceptance,communication of,case,{Acceptance::communication of::case:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.079]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.079]"
19,Acceptance,communication of,case analysis,{Acceptance::communication of::case analysis:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.069', '4.070', '4.071', '4.072', '4.073', '4.074', '4.075', '4.076', '4.077', '4.078', '4.079', '4.080', '4.081', '4.082', '4.083', '4.084', '4.085', '4.086', '[4.080]', '[4.081]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.069, 4.07, 4.071, 4.072, 4.073, 4.074, 4.075, 4.076, 4.077, 4.078, 4.079, 4.08, 4.081, 4.082, 4.083, 4.084, 4.085, 4.086, 4.08, 4.081]"
20,Acceptance,Contracts Act 1950 s 2(b),,{Acceptance::Contracts Act 1950 s 2(b):},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.052]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.052]"
21,Acceptance,examples of analysis of existence,,{Acceptance::examples of analysis of existence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.006]', '[4.007]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.006, 4.007]"
22,Acceptance,mala fide,,{Acceptance::mala fide:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.098]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.098]"
23,Acceptance,motive,,{Acceptance::motive:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.051]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.051]"
24,Acceptance,necessity,,{Acceptance::necessity:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.052]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.052]"
25,Acceptance,omission,,{Acceptance::omission:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.072]', '[4.074]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.072, 4.074]"
26,Acceptance,oral contract case example,evidence,{Acceptance::oral contract case example::evidence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.057]', '[4.058]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.057, 4.058]"
27,Acceptance,postal acceptance,case example,{Acceptance::postal acceptance::case example:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.078]', '[4.082]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.062, 4.063, 4.078, 4.082]"
28,Acceptance,postal acceptance,Contracts Act 1950 s 4(2),{Acceptance::postal acceptance::Contracts Act 1950 s 4(2):},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '4.080', '4.082', '[4.062]', '[4.063]', '[4.082]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.08, 4.082, 4.062, 4.063, 4.082]"
29,Acceptance,postal acceptance,facts and evidence,{Acceptance::postal acceptance::facts and evidence:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.082]', '[4.083]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.062, 4.063, 4.082, 4.083]"
30,Acceptance,postal acceptance,limitation of rule,{Acceptance::postal acceptance::limitation of rule:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.082]', '[4.086]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.062, 4.063, 4.082, 4.086]"
31,Acceptance,postal acceptance,origins of rule,{Acceptance::postal acceptance::origins of rule:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.082]', '[4.084]', '[4.085]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.062, 4.063, 4.082, 4.084, 4.085]"
32,Acceptance,postal acceptance,case analysis,{Acceptance::postal acceptance::case analysis:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.062]', '[4.063]', '[4.080]', '[4.081]', '[4.082]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.062, 4.063, 4.08, 4.081, 4.082]"
33,Acceptance,prescribed means,postal acceptance,{Acceptance::prescribed means::postal acceptance:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.061]', '[4.062]', '[4.063]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.061, 4.062, 4.063]"
34,Acceptance,prescribed means,redundancy,{Acceptance::prescribed means::redundancy:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.060]', '[4.061]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.06, 4.061]"
35,Acceptance,proposal conditions,,{Acceptance::proposal conditions:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.054]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.054]"
36,Acceptance,proposal revoked before,case example,{Acceptance::proposal revoked before::case example:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.087]', '[4.088]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.087, 4.088]"
37,Acceptance,reform,necessity,{Acceptance::reform::necessity:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.124]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.124]"
38,Acceptance,reform,reason,{Acceptance::reform::reason:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.125]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.125]"
39,Acceptance,requirement to make business and economic sense,case example,{Acceptance::requirement to make business and economic sense::case example:},"['4.043', '4.045', '4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.043]']","[4.043, 4.045, 4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.043]"
40,Acceptance,requirement to make business and economic sense,effect of not making sense,{Acceptance::requirement to make business and economic sense::effect of not making sense:},"['4.043', '4.045', '4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.045]']","[4.043, 4.045, 4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.045]"
41,Acceptance,requirement to make business and economic sense,principle,{Acceptance::requirement to make business and economic sense::principle:},"['4.043', '4.045', '4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.044]']","[4.043, 4.045, 4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.044]"
42,Acceptance,revocation,acceptor’s advantages,{Acceptance::revocation::acceptor’s advantages:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.117]', '[4.119]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.117, 4.119]"
43,Acceptance,revocation,communication,{Acceptance::revocation::communication:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.117]', '[4.118]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.117, 4.118]"
44,Acceptance,revocation,Contracts Act 1950 s 3,{Acceptance::revocation::Contracts Act 1950 s 3:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.117]', '[4.121]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.117, 4.121]"
45,Acceptance,revocation,environment for judicial creativity,{Acceptance::revocation::environment for judicial creativity:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.117]', '[4.122]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.117, 4.122]"
46,Acceptance,revocation,general rule,{Acceptance::revocation::general rule:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.099]', '[4.117]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.099, 4.117]"
47,Acceptance,revocation,postal acceptance,{Acceptance::revocation::postal acceptance:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.117]', '[4.120]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.117, 4.12]"
48,Acceptance,revocation,timing,{Acceptance::revocation::timing:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.117]', '[4.118]', '[4.120]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.117, 4.118, 4.12]"
49,Acceptance,rules,redundancy of prescribed acceptance method,{Acceptance::rules::redundancy of prescribed acceptance method:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.059]', '[4.060]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.059, 4.06]"
50,Acceptance,subject to contract,case examples,{Acceptance::subject to contract::case examples:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.065]', '[4.066]', '[4.068]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.065, 4.066, 4.068]"
51,Acceptance,subject to contract,types of contract inapplicable,{Acceptance::subject to contract::types of contract inapplicable:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.065]', '[4.067]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.065, 4.067]"
52,Acceptance,subject to contract,use,{Acceptance::subject to contract::use:},"['4.052', '4.053', '4.054', '4.055', '4.056', '4.057', '4.058', '4.059', '4.060', '4.061', '4.062', '4.063', '[4.064]', '[4.065]']","[4.052, 4.053, 4.054, 4.055, 4.056, 4.057, 4.058, 4.059, 4.06, 4.061, 4.062, 4.063, 4.064, 4.065]"
53,Advertisements,case applying principles,,{Advertisements::case applying principles:},"['4.029', '4.030', '4.031', '4.032', '[4.032]']","[4.029, 4.03, 4.031, 4.032, 4.032]"
54,Advertisements,case illustrating rule,,{Advertisements::case illustrating rule:},"['4.029', '4.030', '4.031', '4.032', '[4.030]']","[4.029, 4.03, 4.031, 4.032, 4.03]"
55,Advertisements,circulars and catalogues,,{Advertisements::circulars and catalogues:},"['4.029', '4.030', '4.031', '4.032', '[4.031]']","[4.029, 4.03, 4.031, 4.032, 4.031]"
56,Advertisements,invitations to treat,,{Advertisements::invitations to treat:},"['4.029', '4.030', '4.031', '4.032', '[4.029]']","[4.029, 4.03, 4.031, 4.032, 4.029]"
57,Advertisements,purpose,,{Advertisements::purpose:},"['4.029', '4.030', '4.031', '4.032', '[4.029]']","[4.029, 4.03, 4.031, 4.032, 4.029]"
61,Agreements,memoranda of understanding as enforceable agreement,,{Agreements::memoranda of understanding as enforceable agreement:},['[7.032]'],[7.032]
63,Agreements,void for lack of consideration,,{Agreements::void for lack of consideration:},"['5.010', '5.011', '5.012', '5.013']","[5.01, 5.011, 5.012, 5.013]"
69,Auctions,definition,,{Auctions::definition:},"['4.033', '4.034', '4.036', '[4.033]']","[4.033, 4.034, 4.036, 4.033]"
70,Auctions,invitation to treat or proposal,,{Auctions::invitation to treat or proposal:},"['4.033', '4.034', '4.036', '[4.035]']","[4.033, 4.034, 4.036, 4.035]"
71,Auctions,Payne v Cave,,{Auctions::Payne v Cave:},"['4.033', '4.034', '4.036', '[4.035]', '[4.036]']","[4.033, 4.034, 4.036, 4.035, 4.036]"
72,Auctions,sale by,,{Auctions::sale by:},"['4.033', '4.034', '4.036', '[4.034]']","[4.033, 4.034, 4.036, 4.034]"
73,Australia,promissory estoppel,1980s arrival and early use,{Australia::promissory estoppel::1980s arrival and early use:},['[6.024]'],[6.024]
74,Australia,promissory estoppel,landmark judicial decision,{Australia::promissory estoppel::landmark judicial decision:},"['[6.025]', '[6.028]']","[6.025, 6.028]"
75,Australia,promissory estoppel,parties’ pre-existing contractual relationship requirement obviated,{Australia::promissory estoppel::parties’ pre-existing contractual relationship requirement obviated:},['[6.027]'],[6.027]
76,Australia,promissory estoppel,“shield” not “sword” requirement overturned,{Australia::promissory estoppel::“shield” not “sword” requirement overturned:},['[6.026]'],[6.026]
97,Capacity,disqualification from contracting,,{Capacity::disqualification from contracting:},"['[7.035]', '[7.036]', '[7.051]', '[7.055]']","[7.035, 7.036, 7.051, 7.055]"
98,Capacity,incapacity,,{Capacity::incapacity:},"['[7.035]', '[7.036]', '[7.052]', '[7.053]', '[7.055]']","[7.035, 7.036, 7.052, 7.053, 7.055]"
99,Capacity,minors,adults contracting with,{Capacity::minors::adults contracting with:},"['[7.035]', '[7.036]', '[7.037]', '[7.038]', '[7.041]', '[7.055]']","[7.035, 7.036, 7.037, 7.038, 7.041, 7.055]"
100,Capacity,minors,case example,{Capacity::minors::case example:},"['[7.035]', '[7.036]', '[7.037]', '[7.039]', '[7.041]', '[7.055]']","[7.035, 7.036, 7.037, 7.039, 7.041, 7.055]"
101,Capacity,minors,determination of minority,{Capacity::minors::determination of minority:},"['[7.035]', '[7.036]', '[7.037]', '[7.040]', '[7.041]', '[7.055]']","[7.035, 7.036, 7.037, 7.04, 7.041, 7.055]"
102,Capacity,minors,employment contracts,{Capacity::minors::employment contracts:},"['[7.035]', '[7.036]', '[7.037]', '[7.041]', '[7.0425]', '[7.043]', '[7.055]']","[7.035, 7.036, 7.037, 7.041, 7.0425, 7.043, 7.055]"
103,Capacity,minors,exceptions to inability to contract,{Capacity::minors::exceptions to inability to contract:},"['[7.035]', '[7.036]', '[7.037]', '[7.041]', '[7.042]', '[7.055]']","[7.035, 7.036, 7.037, 7.041, 7.042, 7.055]"
104,Capacity,minors,legal protection,{Capacity::minors::legal protection:},"['[7.035]', '[7.036]', '[7.037]', '[7.038]', '[7.041]', '[7.055]']","[7.035, 7.036, 7.037, 7.038, 7.041, 7.055]"
